t,pos1,pos2
1,0,0
1.001,0,0.000167598
1.002,4.66E-07,0.000701188
1.003,2.33E-06,0.001589705
1.004,6.49E-06,0.002820929
1.005,1.3848E-05,0.004381562
1.006,2.52699E-05,0.00625731
1.007,4.15969E-05,0.008432963
1.008,6.3642E-05,0.010892483
1.009,9.21868E-05,0.013619084
1.01,0.000127979,0.016595322
1.011,0.000171729,0.019803179
1.012,0.000224111,0.023224154
1.013,0.000285758,0.026839344
1.014,0.000357261,0.030629533
1.015,0.000439169,0.034575277
1.016,0.000531985,0.03865699
1.017,0.00063617,0.042855021
1.018,0.000752134,0.04714974
1.019,0.000880246,0.051521614
1.02,0.001020823,0.055951286
1.021,0.001174138,0.060419642
1.022,0.001340416,0.064907892
1.023,0.001519835,0.069397628
1.024,0.001712525,0.073870894
1.025,0.001918572,0.078310248
1.026,0.002138016,0.082698814
1.027,0.002370853,0.087020344
1.028,0.002617034,0.091259259
1.029,0.002876469,0.095400702
1.03,0.003149029,0.099430577
1.031,0.003434541,0.103335588
1.032,0.0037328,0.10710327
1.033,0.00404356,0.110722025
1.034,0.004366545,0.114181139
1.035,0.004701443,0.117470809
1.036,0.005047913,0.120582159
1.037,0.005405587,0.123507249
1.038,0.00577407,0.126239091
1.039,0.006152943,0.128771646
1.04,0.006541764,0.131099829
1.041,0.006940073,0.133219506
1.042,0.007347393,0.135127485
1.043,0.007763232,0.136821507
1.044,0.008187083,0.138300231
1.045,0.008618433,0.139563218
1.046,0.009056755,0.140610908
1.047,0.009501523,0.1414446
1.048,0.009952201,0.142066422
1.049,0.010408256,0.142479304
1.05,0.010869153,0.142686946
1.051,0.011334361,0.142693782
1.052,0.011803353,0.142504948
1.053,0.01227561,0.14212624
1.054,0.01275062,0.141564076
1.055,0.013227882,0.140825454
1.056,0.013706906,0.13991791
1.057,0.014187217,0.138849476
1.058,0.014668354,0.137628632
1.059,0.015149874,0.136264261
1.06,0.01563135,0.134765607
1.061,0.016112375,0.133142226
1.062,0.016592563,0.131403938
1.063,0.017071546,0.129560784
1.064,0.017548981,0.12762298
1.065,0.018024548,0.12560087
1.066,0.018497948,0.123504881
1.067,0.018968907,0.121345479
1.068,0.019437176,0.119133128
1.069,0.019902531,0.116878246
1.07,0.020364772,0.114591164
1.071,0.020823725,0.112282086
1.072,0.021279239,0.109961054
1.073,0.021731191,0.107637908
1.074,0.02217948,0.105322254
1.075,0.022624032,0.103023429
1.076,0.023064796,0.100750473
1.077,0.023501744,0.098512094
1.078,0.023934871,0.09631665
1.079,0.024364197,0.094172116
1.08,0.024789762,0.092086065
1.081,0.025211626,0.090065647
1.082,0.025629871,0.088117572
1.083,0.026044597,0.086248089
1.084,0.026455923,0.084462979
1.085,0.026863986,0.08276754
1.086,0.027268938,0.081166574
1.087,0.027670947,0.079664388
1.088,0.028070195,0.078264781
1.089,0.028466875,0.076971047
1.09,0.028861196,0.075785971
1.091,0.029253372,0.074711831
1.092,0.029643632,0.073750402
1.093,0.030032208,0.072902962
1.094,0.030419343,0.072170297
1.095,0.030805283,0.071552712
1.096,0.03119028,0.071050039
1.097,0.031574588,0.070661655
1.098,0.031958463,0.070386489
1.099,0.032342165,0.070223041
1.1,0.03272595,0.070169399
1.101,0.033110073,0.070223255
1.102,0.03349479,0.070381927
1.103,0.03388035,0.070642374
1.104,0.034267,0.071001225
1.105,0.034654979,0.071454792
1.106,0.035044522,0.071999099
1.107,0.035435856,0.072629901
1.108,0.035829201,0.073342713
1.109,0.036224766,0.074132828
1.11,0.036622754,0.074995346
1.111,0.037023354,0.075925195
1.112,0.037426746,0.076917158
1.113,0.037833101,0.077965899
1.114,0.038242576,0.079065982
1.115,0.038655315,0.080211902
1.116,0.039071452,0.081398104
1.117,0.039491107,0.08261901
1.118,0.039914386,0.083869037
1.119,0.040341384,0.085142628
1.12,0.040772182,0.086434263
1.121,0.041206846,0.087738491
1.122,0.04164543,0.089049944
1.123,0.042087976,0.090363355
1.124,0.042534509,0.091673583
1.125,0.042985045,0.092975627
1.126,0.043439584,0.09426464
1.127,0.043898115,0.09553595
1.128,0.044360615,0.096785072
1.129,0.044827047,0.09800772
1.13,0.045297363,0.099199822
1.131,0.045771505,0.100357529
1.132,0.046249404,0.101477227
1.133,0.046730979,0.102555544
1.134,0.047216139,0.103589357
1.135,0.047704787,0.104575802
1.136,0.048196814,0.105512274
1.137,0.048692104,0.106396435
1.138,0.049190533,0.107226217
1.139,0.04969197,0.107999819
1.14,0.050196278,0.108715714
1.141,0.050703315,0.109372644
1.142,0.051212933,0.109969617
1.143,0.051724979,0.110505911
1.144,0.052239297,0.110981065
1.145,0.052755729,0.111394873
1.146,0.053274112,0.111747384
1.147,0.053794283,0.112038892
1.148,0.054316078,0.112269928
1.149,0.054839331,0.112441255
1.15,0.055363877,0.112553855
1.151,0.055889551,0.112608925
1.152,0.056416191,0.112607862
1.153,0.056943634,0.112552253
1.154,0.057471721,0.112443869
1.155,0.058000296,0.112284646
1.156,0.058529206,0.112076678
1.157,0.0590583,0.111822203
1.158,0.059587434,0.111523591
1.159,0.060116466,0.11118333
1.16,0.060645262,0.110804015
1.161,0.061173691,0.110388332
1.162,0.061701628,0.109939049
1.163,0.062228954,0.109458997
1.164,0.062755557,0.108951064
1.165,0.063281331,0.108418177
1.166,0.063806176,0.107863291
1.167,0.06433,0.107289374
1.168,0.064852716,0.1066994
1.169,0.065374247,0.106096332
